#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
1.7%,173000,21625.0,-95.58573612312236,544.1856937876672,448.59995766454483,121.54223764605851,2.06e+04,1:25:52
1.7%,174000,21750.0,-71.45949312013033,495.96716963574124,424.5076765156109,110.77277533141283,2.06e+04,1:25:50
1.8%,175000,21875.0,-131.9058792854201,526.8422399578919,394.93636067247184,117.66862940709498,2.06e+04,1:25:49
1.8%,176000,22000.0,-115.34882186530123,579.9542934454372,464.60547158013594,129.5310467777585,2.06e+04,1:25:48
1.8%,177000,22125.0,-101.05358403882428,514.9232651110716,413.8696810722473,115.00656223063797,2.06e+04,1:25:47
1.8%,178000,22250.0,-110.19111937420743,538.0789876824866,427.88786830827917,120.17832320813119,2.06e+04,1:25:46
1.8%,179000,22375.0,-67.61818994711939,546.3328053132673,478.7146153661479,122.02178854619463,2.06e+04,1:25:45
1.8%,180000,22500.0,-97.81877023606569,553.4898024592568,455.6710322231911,123.62028232852003,2.06e+04,1:25:44
1.8%,181000,22625.0,-89.81683645936087,571.9652398462803,482.1484033869194,127.7467156896746,2.06e+04,1:25:43
1.8%,182000,22750.0,-58.547553615906054,552.0471331579771,493.49957954207105,123.29806648002838,2.06e+04,1:25:43
1.8%,183000,22875.0,-41.525115882531765,555.9023393712278,514.377223488696,124.15911519022895,2.06e+04,1:25:42
1.8%,184000,23000.0,-74.29916109053525,551.4082359054547,477.1090748149195,123.15537070065754,2.06e+04,1:25:42
1.9%,185000,23125.0,-73.26274853254239,522.9948543669994,449.73210583445706,116.80932740937152,2.06e+04,1:25:41
1.9%,186000,23250.0,-123.83597960702207,481.61240658693634,357.7764269799143,107.56668218756869,2.06e+04,1:25:40
1.9%,187000,23375.0,-117.12098904131784,531.1586297599563,414.03764071863844,118.63268208448902,2.06e+04,1:25:40
1.9%,188000,23500.0,-121.01689174522562,543.4085159016348,422.3916241564092,121.36865730317969,2.06e+04,1:25:40
1.9%,189000,23625.0,-118.30136723321459,521.5520341229881,403.25066688977347,116.48707784827482,2.06e+04,1:25:39
1.9%,190000,23750.0,-104.45998978830741,506.89472856111144,402.43473877280405,113.21341274426786,2.06e+04,1:25:38
1.9%,191000,23875.0,-97.6983153845787,528.3627014901722,430.6643861055935,118.00821991636002,2.06e+04,1:25:37
1.9%,192000,24000.0,-130.61935780470347,564.7022455643464,434.082887759643,126.12454776590482,2.06e+04,1:25:39
1.9%,193000,24125.0,-143.99510845762575,540.5484049170503,396.5532964594246,120.72986011877943,2.06e+04,1:25:42
1.9%,194000,24250.0,-137.0793518433007,533.968851578611,396.8894997353102,119.26033667375931,2.06e+04,1:25:43
1.9%,195000,24375.0,-126.40102823537833,572.9023801595483,446.50135192416997,127.95602315946519,2.06e+04,1:25:44
2.0%,196000,24500.0,-86.0518336266052,563.6982627181327,477.64642909152747,125.90031121746168,2.06e+04,1:25:46
2.0%,197000,24625.0,-79.79628857739263,582.5245849983096,502.728296420917,130.10511366394306,2.06e+04,1:25:47
2.0%,198000,24750.0,-51.4548197205813,511.55183652191374,460.0970168013324,114.25356379744133,2.06e+04,1:25:47
2.0%,199000,24875.0,-95.46292382461868,542.6644642411374,447.2015404165187,121.20247560312124,2.06e+04,1:25:47
2.0%,200000,25000.0,-78.0622239083907,532.7630520365899,454.7008281281992,118.99102497342817,2.06e+04,1:25:46
2.0%,201000,25125.0,-82.36006795224336,510.71195621401245,428.3518882617691,114.06597905726437,2.06e+04,1:25:45
2.0%,202000,25250.0,-104.50421237663699,544.8376819101986,440.33346953356164,121.6878572318649,2.06e+04,1:25:44
2.0%,203000,25375.0,-86.32625692247805,556.4317981340998,470.1055412116218,124.27736821215771,2.06e+04,1:25:44
2.0%,204000,25500.0,-77.00697961246416,562.7598528019777,485.7528731895135,125.6907201856856,2.06e+04,1:25:43
2.0%,205000,25625.0,-81.70209920270327,551.3116681537379,469.6095689510346,123.13380258381414,2.06e+04,1:25:42
2.1%,206000,25750.0,-88.82886940235787,533.5428508339969,444.713981431639,119.16519068897809,2.06e+04,1:25:41
2.1%,207000,25875.0,-74.35672357783594,566.2358922608285,491.8791686829925,126.46708314192966,2.06e+04,1:25:40
2.1%,208000,26000.0,-86.59847539355428,572.5701162879832,485.9716408944289,127.88181302329293,2.06e+04,1:25:39
2.1%,209000,26125.0,-66.95669585473794,526.4249915283989,459.4682956736609,117.57543822556666,2.06e+04,1:25:39
2.1%,210000,26250.0,-94.61761433240432,511.53076156205236,416.9131472296481,114.24885676855561,2.06e+04,1:25:39
2.1%,211000,26375.0,-118.38095180114755,537.4035295954696,419.0225777943221,120.02746167636111,2.06e+04,1:25:38
2.1%,212000,26500.0,-80.74367975278494,546.7645694592186,466.02088970643365,122.11822176932661,2.06e+04,1:25:37
2.1%,213000,26625.0,-64.10564892593993,528.6414868128713,464.5358378869314,118.07048577952133,2.06e+04,1:25:36
2.1%,214000,26750.0,-80.9371334761224,534.9940497090481,454.0569162329257,119.48931159211227,2.06e+04,1:25:35
2.1%,215000,26875.0,-104.5718958352787,505.17753102839237,400.6056351931137,112.82988184114124,2.06e+04,1:25:33
2.2%,216000,27000.0,-94.7443677314806,526.7710375078157,432.0266697763351,117.65272655406716,2.06e+04,1:25:32
2.2%,217000,27125.0,-122.7563868780174,571.0775739363456,448.32118705832823,127.54845817903582,2.06e+04,1:25:31
2.2%,218000,27250.0,-113.06288030643233,547.8703234335368,434.8074431271044,122.36518859307611,2.06e+04,1:25:32
2.2%,219000,27375.0,-89.41148965877221,541.2569357114791,451.84544605270685,120.88810834025804,2.06e+04,1:25:32
2.2%,220000,27500.0,-125.33941705088293,567.9452562890253,442.6058392381424,126.84886445538662,2.06e+04,1:25:32
2.2%,221000,27625.0,-94.26138817478153,508.8767023093908,414.61531413460926,113.65608061861961,2.06e+04,1:25:31
2.2%,222000,27750.0,-96.23501235048741,531.9099159861203,435.67490363563286,118.80047960302551,2.06e+04,1:25:30
2.2%,223000,27875.0,-110.56341546831334,533.0364121440577,422.4729966757444,119.05207913108814,2.06e+04,1:25:29
2.2%,224000,28000.0,-86.74103721670113,500.8496255748212,414.1085883581201,111.86325717762544,2.06e+04,1:25:28
2.2%,225000,28125.0,-59.39716077792161,522.767968640896,463.3708078629744,116.75865316498147,2.06e+04,1:25:27
2.3%,226000,28250.0,-105.68636119427595,515.2119402514478,409.52557905717185,115.07103695482617,2.06e+04,1:25:26
2.3%,227000,28375.0,-91.97071620077318,536.4854000672244,444.51468386645126,119.82240020821567,2.06e+04,1:25:25
2.3%,228000,28500.0,-101.88612656153111,506.2422500195182,404.3561234579871,113.06768362483933,2.06e+04,1:25:24
2.3%,229000,28625.0,-92.14545951023678,532.8443588477941,440.6988993375573,119.0091846051172,2.06e+04,1:25:23
2.3%,230000,28750.0,-101.38568801909477,535.6939668260524,434.30827880695756,119.64563597465047,2.06e+04,1:25:22
2.3%,231000,28875.0,-79.93750996512091,519.4713781402377,439.53386817511677,116.02236959371749,2.06e+04,1:25:21
2.3%,232000,29000.0,-45.86907609969947,504.6963011430308,458.8272250433313,112.72240059391862,2.06e+04,1:25:20
2.3%,233000,29125.0,-72.98033648786958,553.7302526845936,480.749916196724,123.67398616300807,2.06e+04,1:25:19
2.3%,234000,29250.0,-83.28440614967863,570.7113113072232,487.42690515754464,127.46665452264087,2.06e+04,1:25:18
