#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
1.7%,170000,21250.0,123.8043628704962,556.2148410293307,680.019203899827,122.52247040350382,1.3e+04,2:16:16
1.7%,171000,21375.0,116.97308352269481,561.779508627744,678.7525921504388,123.74825003187583,1.3e+04,2:16:15
1.7%,172000,21500.0,122.91821675825352,569.9196118956813,692.8378286539348,125.54134415335166,1.3e+04,2:16:15
1.7%,173000,21625.0,130.41978978883984,562.1580420666161,692.5778318554559,123.83163301384573,1.3e+04,2:16:14
1.7%,174000,21750.0,119.80761515897015,524.5941042633827,644.4017194223529,115.55708491078097,1.3e+04,2:16:10
1.8%,175000,21875.0,140.9272812368559,563.1527982534907,704.0800794903466,124.05075695027197,1.3e+04,2:16:07
1.8%,176000,22000.0,128.32007571670346,544.8443601785871,673.1644358952906,120.0177918139669,1.3e+04,2:16:05
1.8%,177000,22125.0,106.56714616066506,564.0085781030855,670.5757242637505,124.23926731274244,1.3e+04,2:16:03
1.8%,178000,22250.0,114.14418475641833,520.5339482488461,634.6781330052644,114.66271764757728,1.3e+04,2:16:01
1.8%,179000,22375.0,138.2176123183749,507.6123595291184,645.8299718474933,111.81636250798906,1.3e+04,2:15:58
1.8%,180000,22500.0,125.78395332221237,513.0146795573668,638.7986328795791,113.00638036969586,1.3e+04,2:15:56
1.8%,181000,22625.0,122.57567477485398,561.7902679788343,684.3659427536883,123.75062009138931,1.3e+04,2:15:57
1.8%,182000,22750.0,128.22367257362137,530.9191158938829,659.1427884675043,116.95035239150054,1.3e+04,2:15:57
1.8%,183000,22875.0,130.74553013722226,527.2843555677023,658.0298857049245,116.1496908815269,1.3e+04,2:15:56
1.8%,184000,23000.0,122.05548381114627,556.867019697748,678.9225035088942,122.66613169353893,1.3e+04,2:15:52
1.9%,185000,23125.0,109.85350682012266,545.9444942648961,655.7980010850188,120.26012829276391,1.3e+04,2:15:46
1.9%,186000,23250.0,126.32190918438299,599.9275453973682,726.2494545817513,132.15146289366925,1.3e+04,2:15:44
1.9%,187000,23375.0,131.895625325582,518.892727013444,650.788352339026,114.30119101181181,1.3e+04,2:15:41
1.9%,188000,23500.0,119.96253061723075,510.1765775276494,630.1391081448801,112.38120598331189,1.3e+04,2:15:44
1.9%,189000,23625.0,119.49693235660366,538.351351141054,657.8482834976577,118.58751802594894,1.3e+04,2:15:41
1.9%,190000,23750.0,124.09690564551893,535.2777323568026,659.3746380023216,117.9104642353162,1.3e+04,2:15:39
1.9%,191000,23875.0,111.79864505115422,584.6731206873873,696.4717657385415,128.79123288507702,1.3e+04,2:15:38
1.9%,192000,24000.0,133.61138060288448,526.4564732748883,660.0678538777727,115.9673257660417,1.3e+04,2:15:36
1.9%,193000,24125.0,124.33875905674692,574.9785677094735,699.3173267662204,126.6557260760291,1.3e+04,2:15:34
1.9%,194000,24250.0,105.99813872466582,546.6496816064033,652.6478203310692,120.41546628234154,1.3e+04,2:15:31
1.9%,195000,24375.0,154.2831667965328,538.6429894548514,692.9261562513842,118.65175983331359,1.3e+04,2:15:28
2.0%,196000,24500.0,127.2372516684517,528.0472511515933,655.284502820045,116.31774078725266,1.3e+04,2:15:27
2.0%,197000,24625.0,121.6519897855604,520.839477759993,642.4914675455534,114.73001939453825,1.3e+04,2:15:27
2.0%,198000,24750.0,116.53898658615927,561.0976343058071,677.6366208919663,123.5980474118346,1.3e+04,2:15:31
2.0%,199000,24875.0,141.1764667139306,530.412217921674,671.5886846356046,116.83869339354459,1.3e+04,2:15:33
2.0%,200000,25000.0,131.93284511688103,561.4164374486836,693.3492825655646,123.66827306163088,1.3e+04,2:15:31
2.0%,201000,25125.0,100.82267812937309,548.3522741076781,649.1749522370512,120.7905117215474,1.3e+04,2:15:28
2.0%,202000,25250.0,101.86352960363867,496.6331695364757,598.4966991401144,109.39787709246401,1.3e+04,2:15:24
2.0%,203000,25375.0,118.58012034057631,577.9155323891999,696.4956527297762,127.30267783190457,1.3e+04,2:15:22
2.0%,204000,25500.0,140.59441916574872,559.5797871949574,700.1742063607061,123.2636975096062,1.3e+04,2:15:20
